2024-08-26 11:32:22, Temp: 58.4°C, Freq: 1800.404352 MHz
2024-08-26 11:33:22, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:34:22, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:35:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:36:23, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 11:37:23, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 11:38:23, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-26 11:39:23, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-26 11:40:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:41:23, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:42:23, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 11:43:23, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-26 11:44:23, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-26 11:45:23, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:46:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:47:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:48:23, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:49:23, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:50:23, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:51:23, Temp: 59.4°C, Freq: 1800.457088 MHz
2024-08-26 11:52:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 11:53:23, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:54:23, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:55:23, Temp: 58.9°C, Freq: 1800.457088 MHz
2024-08-26 11:56:23, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:57:23, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 11:58:23, Temp: 58.9°C, Freq: 1800.404352 MHz
2024-08-26 11:59:23, Temp: 57.4°C, Freq: 1800.457088 MHz
2024-08-26 12:00:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 12:01:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 12:02:23, Temp: 57.9°C, Freq: 1800.404352 MHz
2024-08-26 12:03:23, Temp: 58.4°C, Freq: 1800.457088 MHz
2024-08-26 12:04:23, Temp: 57.9°C, Freq: 1800.457088 MHz
2024-08-26 12:05:23, Temp: 56.9°C, Freq: 1800.457088 MHz
