2024-08-19 14:16:40, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-19 14:17:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:18:40, Temp: 49.6°C, Freq: 600.117184 MHz
2024-08-19 14:19:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:20:40, Temp: 49.6°C, Freq: 1800.404352 MHz
2024-08-19 14:21:40, Temp: 48.7°C, Freq: 1800.404352 MHz
2024-08-19 14:22:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:23:40, Temp: 49.6°C, Freq: 1100.249984 MHz
2024-08-19 14:24:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:25:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:26:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 14:27:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:28:40, Temp: 49.6°C, Freq: 900.228544 MHz
2024-08-19 14:29:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:30:40, Temp: 49.6°C, Freq: 700.154304 MHz
2024-08-19 14:31:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:32:40, Temp: 48.2°C, Freq: 1800.457088 MHz
2024-08-19 14:33:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 14:34:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 14:35:40, Temp: 49.6°C, Freq: 800.191424 MHz
2024-08-19 14:36:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 14:37:40, Temp: 50.6°C, Freq: 1800.404352 MHz
2024-08-19 14:38:40, Temp: 48.7°C, Freq: 1800.457088 MHz
2024-08-19 14:39:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 14:40:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:41:40, Temp: 50.1°C, Freq: 600.117184 MHz
2024-08-19 14:42:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 14:43:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:44:40, Temp: 50.1°C, Freq: 1800.457088 MHz
2024-08-19 14:45:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:46:40, Temp: 50.1°C, Freq: 1800.457088 MHz
2024-08-19 14:47:40, Temp: 47.7°C, Freq: 1800.457088 MHz
2024-08-19 14:48:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:49:40, Temp: 48.7°C, Freq: 600.16992 MHz
2024-08-19 14:50:40, Temp: 49.6°C, Freq: 1800.457088 MHz
2024-08-19 14:51:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:52:40, Temp: 49.1°C, Freq: 1800.404352 MHz
2024-08-19 14:53:40, Temp: 49.1°C, Freq: 1800.457088 MHz
2024-08-19 14:54:40, Temp: 49.6°C, Freq: 1800.404352 MHz
2024-08-19 14:55:40, Temp: 50.1°C, Freq: 1800.457088 MHz
